Company_Name,Website,Country,Region,Primary_Industry,Sub_Industry,Target_Application,Notes
Michelin,www.michelin.com,France,Europe,Plastics & Rubber,Tires & Rubber Compounds,High-performance tire compounds,Major global tire manufacturer
Continental,www.continental.com,Germany,Europe,Plastics & Rubber,Tires & Elastomers,Rubber compounding & processing aids,Strong focus on material innovation
Pirelli,www.pirelli.com,Italy,Europe,Plastics & Rubber,Tires,Rubber & polymer additives,Premium tire segment
Nokian Tyres,www.nokiantyres.com,Finland,Europe,Plastics & Rubber,Tires,Cold-resistant rubber formulations,Nordic market focus
Trelleborg,www.trelleborg.com,Sweden,Europe,Plastics & Rubber,Engineered Polymers,Advanced elastomer solutions,Industrial & sealing applications
Hutchinson,www.hutchinson.com,France,Europe,Plastics & Rubber,Rubber & Elastomers,Elastomer processing & compounding,Automotive & industrial
Covestro,www.covestro.com,Germany,Europe,Plastics & Rubber,Polymer Materials,Polymerization & specialty plastics,High-value polymer applications
BASF Performance Materials,www.basf.com,Germany,Europe,Plastics & Rubber,Engineering Plastics,Polymer additives & compounding,Chemical upstream player
Lanxess,www.lanxess.com,Germany,Europe,Plastics & Rubber,Rubber Chemicals,Rubber additives & antioxidants,Classic additives customer
SKF Lubrication Systems,www.skf.com,Sweden,Europe,Wind Energy,Lubricants & Bearings,Wind turbine gearbox lubrication,Tribology & maintenance focus
Klüber Lubrication,www.klueber.com,Germany,Europe,Wind Energy,Specialty Lubricants,Gearbox & bearing lubricants,High-performance specialty lubricants
FUCHS Lubricants,www.fuchs.com,Germany,Europe,Wind Energy,Industrial Lubricants,Wind turbine lubrication solutions,Clear lubricant use-case
TotalEnergies Lubricants,www.lubricants.totalenergies.com,France,Europe,Wind Energy,Industrial Lubricants,Offshore & onshore wind lubrication,Energy-sector exposure
Shell Lubricants,www.shell.com,Netherlands,Europe,Wind Energy,Industrial Lubricants,Wind turbine gearbox oils,Global energy & lubricant supplier
